"title","artist","link"
"Kneeling Male Nude (1965-1966)","George Donald","https://collections.ed.ac.uk/art/record/21174?highlight=*:*"
"Untitled (Unknown)","Unknown","https://collections.ed.ac.uk/art/record/21978?highlight=*:*"
"Portrait of a Man","A Sinclair","https://collections.ed.ac.uk/art/record/21471?highlight=*:*"
"15th Century Italian (Feb 1982)","Carol Binnie","https://collections.ed.ac.uk/art/record/21976?highlight=*:*"
"View from a Window","Sylvia Mackiewicz","https://collections.ed.ac.uk/art/record/21453?highlight=*:*"
"Jug","Emma Gillies","https://collections.ed.ac.uk/art/record/53722?highlight=*:*"
"Dog (1966)","James Fairgrieve","https://collections.ed.ac.uk/art/record/21345?highlight=*:*"
"Untitled - Print of Figures Lying in a Garden (1962)","Ann F Ward","https://collections.ed.ac.uk/art/record/99337?highlight=*:*"
"Untitled (1965)","Wilson","https://collections.ed.ac.uk/art/record/22485?highlight=*:*"
"The Dive (1966)","William S. T. Brodie","https://collections.ed.ac.uk/art/record/22601?highlight=*:*"
"Portrait of a Man","Kirsty Ratt","https://collections.ed.ac.uk/art/record/21439?highlight=*:*"
"Bust of Queen Nefertiti (White)","Unknown","https://collections.ed.ac.uk/art/record/20622?highlight=*:*"
"Untitled (1983)","Robert Rivers","https://collections.ed.ac.uk/art/record/99801?highlight=*:*"
"Seated Male Nude (1955)","J Salter","https://collections.ed.ac.uk/art/record/21193?highlight=*:*"
"The Misadventure (1989)","John Brown","https://collections.ed.ac.uk/art/record/99468?highlight=*:*"
"Seated Male Nude (1965)","J Lord","https://collections.ed.ac.uk/art/record/21291?highlight=*:*"
"Limits (2014)","Phoebe Mitchell","https://collections.ed.ac.uk/art/record/54759?highlight=*:*"
"Seated Female Nude (1953)","Lilias Stirling","https://collections.ed.ac.uk/art/record/20944?highlight=*:*"
"Unknown (1960)","Robin E. Bownass","https://collections.ed.ac.uk/art/record/50606?highlight=*:*"
"Woman Seated (1954)","John P Busby","https://collections.ed.ac.uk/art/record/21380?highlight=*:*"
"Portrait of a Woman (1953)","Mary Edward","https://collections.ed.ac.uk/art/record/21197?highlight=*:*"
"Untitled (1971)","Jan Haycoe","https://collections.ed.ac.uk/art/record/21836?highlight=*:*"
"Summer Fayre","Unknown","https://collections.ed.ac.uk/art/record/22658?highlight=*:*"
"Seated Male Nude with Foot Resting on Stool (1961)","Plehakraborty","https://collections.ed.ac.uk/art/record/21296?highlight=*:*"
"Standing Male Nude (1952)","Adam Robson","https://collections.ed.ac.uk/art/record/20809?highlight=*:*"
"Seated Male Nude (1959)","Violet Thompson","https://collections.ed.ac.uk/art/record/21146?highlight=*:*"
"Untitled (Unknown)","Gabor Peterdi","https://collections.ed.ac.uk/art/record/21659?highlight=*:*"
"Pekin knot sample","Unknown","https://collections.ed.ac.uk/art/record/102730?highlight=*:*"
"Tomb of Ferry de Gros, Lord of Dyeghem Nieunland","Unknown","https://collections.ed.ac.uk/art/record/20567?highlight=*:*"
"Untitled (Unknown)","Unknown","https://collections.ed.ac.uk/art/record/21557?highlight=*:*"
"Portrait of a Man Seated (1959)","C Byron","https://collections.ed.ac.uk/art/record/20914?highlight=*:*"
"Portrait of a Woman's Head (1948)","Thomson","https://collections.ed.ac.uk/art/record/20842?highlight=*:*"
"Sugar Bowl Lid","Emma Gillies","https://collections.ed.ac.uk/art/record/53725?highlight=*:*"
"Untitled (2003)","Andrea Bain","https://collections.ed.ac.uk/art/record/99938?highlight=*:*"
"Untitled - Abstract Figures and Shapes (1965-1966)","James B. Thomson","https://collections.ed.ac.uk/art/record/99449?highlight=*:*"
"Portrait of a Woman (1956)","John Sprakes DA (Edinburgh) PG (Edinburgh) ROI RBA MAFA","https://collections.ed.ac.uk/art/record/21184?highlight=*:*"
"Unknown","Unknown","https://collections.ed.ac.uk/art/record/50397?highlight=*:*"
"Untitled (1963)","Andrew Raeburn","https://collections.ed.ac.uk/art/record/22018?highlight=*:*"
"The Strike (1953)","Robert Marx","https://collections.ed.ac.uk/art/record/21691?highlight=*:*"
"Two Seated Men (1949)","Douglas Gordon","https://collections.ed.ac.uk/art/record/21100?highlight=*:*"
"Untitled (Unknown)","Unknown","https://collections.ed.ac.uk/art/record/21563?highlight=*:*"
"William Shakespeare Otelo (1983)","Boris Bucan","https://collections.ed.ac.uk/art/record/22040?highlight=*:*"
"Untitled","A. Parkinson","https://collections.ed.ac.uk/art/record/112501?highlight=*:*"
